month,order_date,order_num,quantity,order_status,sup_name,reseller_state,gst_amount,end_customer_state,gst_rate,meesho_price,net_commission,commission_gst,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,tcs_taxable_amount,end_customer_state_new,financial_year,supplier_id,AMT
2/1/2025,2/13/2025,121663,1,Return,Streets Shopping,Karnataka,12.04761905,Karnataka,5,253,0,0,0,1.05,52.38095238,9.428571429,230.4761905,MAHARASHTRA,2025,1014070,230.4761905
null,11/18/2024,901077,1,Cancelled,Streets Shopping,West Bengal,0,West Bengal,5,0,0,0,0,0,-17.14285714,-3.085714286,0,WEST BENGAL,2025,1014070,0
null,2/10/2025,120513,1,Cancelled,Streets Shopping,Maharashtra,11.42857143,Maharashtra,5,240,0,0,0,1.05,55.23809524,9.942857143,228.5714286,MAHARASHTRA,2025,1014070,228.5714286
2/1/2025,2/23/2025,125290,1,Return,Streets Shopping,Haryana,11.80952381,Haryana,5,248,0,0,0,1.05,34.28571429,6.171428571,212.3809524,HARYANA,2025,1014070,212.3809524
2/1/2025,2/18/2025,123241,1,Delivered,Streets Shopping,West Bengal,12.04761905,West Bengal,5,253,0,0,0,1.05,62.85714286,11.31428571,240.952381,WEST BENGAL,2025,1014070,240.952381
null,11/21/2024,910546,1,Cancelled,Streets Shopping,Uttar Pradesh,0,Uttar Pradesh,5,0,0,0,0,0,-10.47619048,-1.885714286,0,UTTAR PRADESH,2025,1014070,0
2/1/2025,2/5/2025,118622,1,Delivered,Streets Shopping,Jharkhand,11.42857143,Jharkhand,5,240,0,0,0,1.05,55.23809524,9.942857143,228.5714286,JHARKHAND,2025,1014070,228.5714286
null,10/14/2024,774445,1,Cancelled,Streets Shopping,Uttar Pradesh,0,Uttar Pradesh,5,0,0,0,0,0,-28.57142857,-5.142857143,0,UTTAR PRADESH,2025,1014070,0
2/1/2025,2/5/2025,118556,1,rto,Streets Shopping,Uttar Pradesh,23.57142857,Uttar Pradesh,5,495,0,0,0,1.05,65.71428571,11.82857143,460,UTTAR PRADESH,2025,1014070,460
null,10/26/2024,817703,1,Cancelled,Streets Shopping,Chhattisgarh,0,Chhattisgarh,5,0,0,0,0,0,-8.571428571,-1.542857143,0,CHHATTISGARH,2025,1014070,0
3/1/2025,2/28/2025,127098,1,Shipped,Streets Shopping,Odisha,11.71428571,Odisha,5,246,0,0,0,1.05,37.14285714,6.685714286,215.2380952,ODISHA,2025,1014070,215.2380952
null,10/19/2024,790970,1,Cancelled,Streets Shopping,Haryana,0,Haryana,5,0,0,0,0,0,-17.14285714,-3.085714286,0,HARYANA,2025,1014070,0
null,9/10/2024,649348,1,Cancelled,Streets Shopping,Gujarat,0,Gujarat,5,0,0,0,0,0,-17.14285714,-3.085714286,0,GUJARAT,2025,1014070,0
null,2/21/2025,124460,1,Cancelled,Streets Shopping,Odisha,11.66666667,Odisha,5,245,0,0,0,1.05,55.23809524,9.942857143,233.3333333,ODISHA,2025,1014070,233.3333333
2/1/2025,2/16/2025,122634,1,rto,Streets Shopping,Karnataka,11.9047619,Karnataka,5,250,0,0,0,1.05,60,10.8,238.0952381,KARNATAKA,2025,1014070,238.0952381
2/1/2025,2/24/2025,125433,1,rto,Streets Shopping,Maharashtra,11.9047619,Maharashtra,5,250,0,0,0,1.05,60,10.8,238.0952381,MAHARASHTRA,2025,1014070,238.0952381
2/1/2025,2/15/2025,122276,1,Delivered,Streets Shopping,Goa,11.9047619,Goa,5,250,0,0,0,1.05,49.52380952,8.914285714,227.6190476,GOA,2025,1014070,227.6190476
2/1/2025,2/14/2025,121918,1,Delivered,Streets Shopping,Chhattisgarh,11.80952381,Chhattisgarh,5,248,0,0,0,1.05,60,10.8,236.1904762,CHHATTISGARH,2025,1014070,236.1904762
2/1/2025,2/17/2025,123063,1,Delivered,Streets Shopping,Chhattisgarh,17.76190476,Chhattisgarh,5,373,0,0,0,1.05,49.52380952,8.914285714,344.7619048,CHHATTISGARH,2025,1014070,344.7619048
2/1/2025,2/19/2025,123722,1,Return,Streets Shopping,Uttar Pradesh,11.61904762,Uttar Pradesh,5,244,0,0,0,1.05,47.61904762,8.571428571,225.7142857,UTTAR PRADESH,2025,1014070,225.7142857
2/1/2025,2/4/2025,118416,1,Return,Streets Shopping,Delhi,11.76190476,Delhi,5,247,0,0,0,1.05,30.47619048,5.485714286,210.4761905,DELHI,2025,1014070,210.4761905
2/1/2025,2/16/2025,122745,1,Delivered,Streets Shopping,Odisha,16.33333333,Odisha,5,343,0,0,0,1.05,38.0952381,6.857142857,309.5238095,ODISHA,2025,1014070,309.5238095
null,10/24/2024,810449,1,Cancelled,Streets Shopping,Maharashtra,0,Maharashtra,5,0,0,0,0,0,-15.23809524,-2.742857143,0,MAHARASHTRA,2025,1014070,0
2/1/2025,2/12/2025,121115,1,rto,Streets Shopping,Bihar,11.42857143,Bihar,5,240,0,0,0,1.05,55.23809524,9.942857143,228.5714286,BIHAR,2025,1014070,228.5714286
2/1/2025,2/23/2025,125106,1,Delivered,Streets Shopping,Madhya Pradesh,36.85714286,Madhya Pradesh,12,344,0,0,0,1.12,51.78571429,9.321428571,307.1428571,MADHYA PRADESH,2025,1014070,307.1428571
2/1/2025,2/18/2025,123466,1,Delivered,Streets Shopping,Karnataka,12.04761905,Karnataka,5,253,0,0,0,1.05,52.38095238,9.428571429,230.4761905,KARNATAKA,2025,1014070,230.4761905
null,10/19/2024,791548,1,Cancelled,Streets Shopping,Karnataka,0,Karnataka,5,0,0,0,0,0,-15.23809524,-2.742857143,0,KARNATAKA,2025,1014070,0
2/1/2025,2/12/2025,121111,1,Delivered,Streets Shopping,Maharashtra,23.57142857,Maharashtra,5,495,0,0,0,1.05,77.14285714,13.88571429,471.4285714,MAHARASHTRA,2025,1014070,471.4285714
3/1/2025,2/28/2025,127086,1,Shipped,Streets Shopping,Delhi,19.42857143,Delhi,5,408,0,0,0,1.05,59.04761905,10.62857143,372.3809524,DELHI,2025,1014070,372.3809524
2/1/2025,2/15/2025,122251,1,Return,Streets Shopping,Rajasthan,11.9047619,Rajasthan,5,250,0,0,0,1.05,42.85714286,7.714285714,220.952381,RAJASTHAN,2025,1014070,220.952381
2/1/2025,2/26/2025,126190,1,Return,Streets Shopping,Uttar Pradesh,12,Uttar Pradesh,5,252,0,0,0,1.05,45.71428571,8.228571429,230.4761905,UTTAR PRADESH,2025,1014070,230.4761905
2/1/2025,2/4/2025,118359,1,Delivered,Streets Shopping,Uttar Pradesh,23.57142857,Uttar Pradesh,5,495,0,0,0,1.05,43.80952381,7.885714286,438.0952381,UTTAR PRADESH,2025,1014070,438.0952381
2/1/2025,2/20/2025,124157,1,Delivered,Streets Shopping,Tamil Nadu,23.61904762,Tamil Nadu,5,496,0,0,0,1.05,78.0952381,14.05714286,472.3809524,TAMIL NADU,2025,1014070,472.3809524
2/1/2025,2/2/2025,117627,1,Delivered,Streets Shopping,Kerala,10.9047619,Kerala,5,229,0,0,0,1.05,61.9047619,11.14285714,218.0952381,KERALA,2025,1014070,218.0952381
2/1/2025,2/2/2025,117485,1,rto,Streets Shopping,Madhya Pradesh,17.76190476,Madhya Pradesh,5,373,0,0,0,1.05,55.23809524,9.942857143,355.2380952,MADHYA PRADESH,2025,1014070,355.2380952
null,9/21/2024,691002,1,Cancelled,Streets Shopping,Rajasthan,0,Rajasthan,5,0,0,0,0,0,-6.666666667,-1.2,0,RAJASTHAN,2025,1014070,0
2/1/2025,2/26/2025,126209,1,Shipped,Streets Shopping,Rajasthan,36.85714286,Rajasthan,12,344,0,0,0,1.12,46.42857143,8.357142857,301.7857143,RAJASTHAN,2025,1014070,301.7857143
2/1/2025,2/7/2025,119291,1,Return,Streets Shopping,Uttar Pradesh,12.85714286,Uttar Pradesh,5,270,0,0,0,1.05,54.28571429,9.771428571,251.4285714,UTTAR PRADESH,2025,1014070,251.4285714
2/1/2025,2/7/2025,119382,1,Delivered,Streets Shopping,Haryana,11.57142857,Haryana,5,243,0,0,0,1.05,33.33333333,6,210.4761905,HARYANA,2025,1014070,210.4761905
2/1/2025,2/10/2025,120360,1,Return,Streets Shopping,Uttar Pradesh,12.38095238,Uttar Pradesh,5,260,0,0,0,1.05,46.66666667,8.4,239.047619,UTTAR PRADESH,2025,1014070,239.047619
3/1/2025,2/28/2025,126944,1,Shipped,Streets Shopping,Gujarat,33.75,Gujarat,12,315,0,0,0,1.12,35.71428571,6.428571429,265.1785714,GUJARAT,2025,1014070,265.1785714
